-	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p5	p6	p7	p8	p9
20131027CSFT002		+							+	+				+		+											+						+				+				+	+		+
20130915ZNT027														+		+	+	+	+	+							+				+		+				+				+			+
20131015ZYLT076		+								+				+				+	+								+						+				+				+	+		+
20140402CJT133			+							+	+			+		+			+							+	+		+	+	+		+				+							+
20140310HHT029										+						+													+				+				+				+	+		+
20131021ZYLT084			+						+	+		+		+		+	+	+	+	+							+				+	+	+				+				+	+		
20131028sajT036		+				+	+		+	+		+		+		+		+	+	+							+						+				+				+	+		+
20131028sajT016	+						+							+			+	+	+	+	+						+		+		+						+							+
LLLDT011						+						+		+		+	+	+	+	+							+						+				+				+			+
20140329RJT198			+						+					+		+	+													+	+	+	+					+						
20140327RJT114				+		+	+				+			+											+	+	+				+				+		+							
20140314RJT007		+								+						+	+										+			+		+	+				+				+	+		+
20140329RJT206			+						+	+		+		+		+			+							+	+		+		+		+				+	+			+			+
20131028sajT038							+							+				+	+	+						+	+		+		+		+				+				+	+	+	+
20130715ZYLT001						+				+				+			+	+	+	+							+						+				+	+			+	+		+
20140310HHT010										+		+		+		+			+							+	+		+		+		+				+	+			+	+		+
2014323LJLT061			+									+				+	+								+	+			+	+	+	+	+				+							+
20130902ZYLT033							+							+			+	+	+	+						+	+		+		+		+	+			+				+	+	+	+
20140320RJT077		+								+						+			+								+						+	+			+	+			+	+		+
20140314RJT035					+				+	+		+		+		+		+	+	+											+		+			+		+		+				+
2014323LJLT058							+				+	+				+										+			+	+	+		+				+							+
20130923PCYT001									+					+		+	+	+	+	+							+						+			+	+				+			+
20130726ZYLT012							+							+		+	+	+	+	+	+						+		+				+				+				+			+
20140320RJT074						+			+	+						+										+	+				+		+			+	+	+			+	+	+	+
20140322RJT093		+										+		+				+	+													+				+								+
20140314RJT038														+		+										+			+		+		+				+	+			+			+
20140320RJT068									+	+				+		+			+								+						+				+	+			+	+		+
20140314RJT039										+				+					+				+			+	+				+		+				+				+	+		+
20140314RJT049				+	+	+	+		+	+		+		+		+							+			+				+	+		+	+		+		+						
20130919LJT007									+			+		+		+	+	+	+	+							+				+		+				+	+			+	+		+
20140314RJT033						+			+					+		+	+	+	+	+							+		+				+			+	+				+			+
20130725CFT012										+		+		+		+	+	+	+	+							+						+			+	+				+	+		+
2014311LJLT030						+				+						+		+	+	+						+	+	+		+	+		+			+	+	+			+	+		+
20140321CSFT067			+				+			+				+		+			+				+		+	+	+	+	+	+	+		+				+				+	+		+
20140322RJT090					+									+			+		+								+						+									+		
20130915ZYLT048							+		+					+		+	+	+	+	+							+						+				+				+			+
20140402CJT137														+		+			+							+	+	+	+		+		+				+							+
20140314RJT029												+		+		+		+								+	+		+		+		+				+				+	+	+	+
20140310HHT035										+				+		+			+				+	+									+				+				+	+		+
20140318RJT054										+		+				+	+									+			+		+		+				+	+						+
20131028sajT051											+			+			+	+	+	+							+						+			+								
20140410ZSST48		+					+			+				+			+	+	+	+							+			+			+				+				+	+	+	+
20130905LLLT372									+	+				+		+	+	+	+	+							+			+			+				+				+			+
20140401RJT212									+			+		+		+										+	+		+		+		+				+	+						+
20140317LTT044									+					+		+		+	+	+						+	+		+		+		+			+	+							+
20140314RJT046														+		+										+	+		+		+		+				+				+			+
20131107LJT031					+									+		+	+	+	+	+						+	+				+		+				+				+	+		+
2014318LJLT049														+		+										+			+		+		+				+							+
20130929PCYT019												+		+				+	+	+						+	+		+		+		+			+	+				+	+	+	+
20130905LLLT381									+	+				+			+	+	+	+		+					+						+			+	+				+	+		+
20130919LJT013										+		+		+		+	+	+	+	+							+						+	+			+				+			+
20140314RJT020			+				+			+				+				+								+	+		+		+		+				+				+	+	+	+
20140411HHT097		+						+		+				+		+	+	+	+							+	+	+	+	+	+		+				+	+			+	+	+	+
2014310LJLT009			+				+		+			+															+				+					+	+					+		
20130914ZYLT041							+							+		+	+	+	+	+							+						+				+				+			+
20140308CSFT043							+	+		+		+				+	+		+							+	+	+	+		+		+				+	+						+
2014311LILT043									+	+				+					+								+			+			+				+				+	+		+
20130906CXPT001										+							+	+	+	+						+	+		+		+		+				+				+	+	+	+
20140411HHT059										+		+		+		+	+		+								+	+			+		+				+				+	+		+
20140411HHT099										+				+			+									+	+						+			+	+				+	+		+
20131125ZYLT106									+	+				+		+	+	+	+	+							+						+			+	+				+			+
20130930sajT011						+								+		+	+	+	+	+							+						+				+				+			+
20140402CJT143					+												+		+							+	+	+	+		+		+				+	+			+	+	+	+
20131030CXPT017									+					+		+	+	+	+	+						+	+						+				+				+	+	+	+
20131118LJT047									+	+		+		+		+	+	+	+	+							+						+			+	+				+	+		+
20131028sajT039							+							+		+		+	+	+						+	+	+	+		+		+				+					+	+	+
20130923PCYT017			+	+	+				+					+				+	+	+					+		+				+	+	+		+	+								
2014323LJLT053			+						+	+		+				+	+										+				+	+	+											
20140322RJT094			+							+				+			+		+							+	+	+	+		+		+				+	+			+	+	+	+
20140314RJT017										+		+		+		+	+	+	+	+						+	+		+		+		+				+				+	+	+	+
20131028sajT037										+		+		+						+							+																	
20130905LLLT377			+	+	+	+	+		+	+		+		+		+	+	+	+	+					+		+				+		+	+	+		+			+	+			
20131028sajT043														+				+	+	+						+	+	+	+		+		+				+					+	+	+
20140310HHT009							+		+							+										+	+		+	+	+		+				+							+
20140309ZSST04										+				+		+		+	+								+						+				+				+	+		+
20130917AHT003								+						+		+	+	+	+	+							+				+		+				+				+			+
2014323LJLT051		+								+		+						+	+								+			+			+			+	+	+			+	+		+
2014310LJLT019									+	+		+		+		+		+	+	+						+	+	+	+		+		+			+	+	+			+	+		+
20140322RJT104		+								+				+		+		+	+								+						+				+				+	+		+
20131122LJT058		+								+				+			+	+	+	+							+				+		+		+	+	+				+	+	+	+
20140327RJT117	+		+				+										+									+			+		+						+	+						+
20140402CJT134				+	+											+			+							+	+	+	+	+	+		+			+	+				+	+	+	+
20140322RJT102							+			+						+	+		+							+	+	+	+	+	+		+			+	+				+			+
20131102PCYT042		+				+				+				+				+	+							+	+		+		+		+				+				+	+	+	+
20131008AHT028		+				+	+							+		+	+		+							+	+		+		+			+				+		+				+
20130902ZYLT034		+								+				+		+	+	+	+	+						+	+		+		+		+				+				+	+	+	+
20121220NXTT018	+									+				+				+	+	+							+			+			+				+	+			+	+		+
20121220NXTT021		+								+				+				+								+	+				+		+				+	+			+	+		+
20101220NXTT080		+								+								+		+							+			+			+				+	+			+	+		+
20121220NXTT026							+									+		+	+							+	+		+	+	+		+				+				+	+	+	+
20120412LHLT139		+								+				+				+		+	+						+						+				+				+	+		+
20121213NXTT002		+	+							+				+				+									+						+				+				+	+		+
20121213NXTT004		+								+				+				+	+	+						+	+		+				+				+	+			+	+	+	+
20121213NXTT005		+								+				+				+									+						+			+	+				+	+		+
20121213NXTT006										+				+				+	+	+						+	+		+		+		+				+				+	+	+	+
20121220NXTT016										+		+							+	+							+						+				+	+			+	+		+
20121220NXTT030										+				+				+		+						+	+		+		+		+				+				+	+	+	+
20121220NXTT032		+								+				+				+	+	+							+						+				+				+	+		+
20121220NXTT044										+				+			+			+							+						+				+				+	+		+
20121220NXTT061					+					+				+	+			+	+	+							+			+						+		+						+
20121220NXTT062										+				+		+	+	+	+	+						+	+			+			+				+				+			+
20121220NXTT064										+				+					+	+							+						+				+				+	+		+
20121220NXTT014										+				+			+	+	+								+						+				+				+	+		+
20121220NXTT027										+				+			+	+	+	+	+						+						+				+				+	+		+
20121220NXTT050		+								+		+		+		+	+	+	+		+					+	+						+				+				+	+		+
20121223NXTT144														+		+	+	+	+	+	+						+	+					+				+				+			+
20130101LHLT001					+					+	+	+		+		+	+	+	+	+							+						+				+				+			+
20130101LHLT004					+	+	+		+	+	+			+				+	+								+						+	+			+				+	+		+
20130101LHLT028														+				+	+	+						+	+		+		+		+				+				+	+	+	+
20130105LHLT057						+	+			+		+		+					+	+							+						+				+	+			+	+		+
20130105LHLT067						+				+		+		+			+	+	+								+			+			+				+				+	+		+
20130106LHLT068												+		+		+	+	+	+	+							+			+	+		+				+	+			+			+
20130106LHLT080										+		+		+				+	+	+							+			+			+				+				+	+		+
20130106LHLT083					+	+				+		+		+				+								+	+		+	+	+		+			+	+				+	+	+	+
20130108NXTT145												+		+				+	+	+	+					+	+	+	+		+		+				+				+		+	+
20130108NXTT146							+		+		+							+								+	+		+		+		+			+	+				+	+	+	+
20130108NXTT147							+			+	+			+			+	+	+	+						+	+		+	+	+		+				+				+		+	+
20130108NXTT149							+		+		+			+				+	+	+							+						+				+				+			+
20130110LHLT030	+									+								+	+	+							+						+			+	+				+	+		+
20130314NXTT158							+		+	+	+			+		+		+	+	+							+						+			+	+				+	+		+
20130327WXXT086			+		+	+	+		+		+	+		+		+	+		+				+				+			+	+	+	+			+		+						+
20130327WXXT107			+		+				+	+		+		+		+	+	+	+	+	+		+				+			+	+	+				+								+
20130327WXXT108			+	+	+	+	+		+		+	+		+			+		+						+	+	+				+	+			+									
20130403LHLT111														+		+	+	+	+	+							+					+	+				+				+			+
20130403LHLT112										+		+		+			+	+	+	+	+		+			+	+	+	+		+		+				+				+	+	+	+
20130403LHLT113		+		+			+			+	+	+		+		+		+	+	+	+				+		+		+		+				+	+	+				+	+		+
20130407WXXT116			+						+	+		+		+			+	+	+	+	+						+	+			+	+												+
20130407WXXT119		+					+		+	+		+		+				+	+	+	+					+	+	+	+		+		+				+	+			+	+	+	+
20130407WXXT179		+								+				+													+						+			+					+	+		+
20130407WXXT184							+			+				+		+		+	+	+	+						+						+				+	+			+	+		+
20130407WXXT236														+				+	+	+						+	+		+		+		+				+				+		+	+
20130407WXXT243										+		+						+	+	+							+						+				+				+	+		+
20130407WXXT245										+				+				+	+		+						+						+				+				+	+		+
20130407WXXT259										+				+		+	+	+	+	+	+						+		+				+				+				+			+
20130407WXXT261						+			+	+		+		+		+	+	+	+	+							+				+		+				+				+			+
20130407WXXT263			+				+			+				+		+	+	+	+	+	+					+	+			+			+				+				+			+
20130407WXXT265												+		+		+	+	+	+	+						+	+		+	+	+		+				+				+	+	+	+
20130407WXXT268		+								+				+			+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130407WXXT270				+												+	+	+	+	+	+						+	+					+				+				+			+
20130407WXXT283												+		+		+	+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130407WXXT284							+		+	+				+		+	+	+	+	+	+						+				+	+	+				+				+			+
20130407WXXT298										+		+		+		+	+	+	+	+	+						+						+				+				+			+
20130407WXXT310		+					+			+				+					+								+						+			+	+	+			+	+		+
20130407WXXT320		+												+				+	+	+	+					+	+		+		+		+				+				+	+	+	+
20130414LHLT176		+	+							+				+			+	+		+							+						+				+				+	+		+
20130414LHLT195			+							+				+				+	+	+	+					+	+	+	+		+		+				+	+			+	+	+	+
20130414LHLT214		+								+				+		+	+	+	+	+							+						+				+				+	+		+
20130414LHLT220												+		+		+	+	+	+	+							+	+					+				+				+			+
20130414LHLT231		+												+		+	+	+	+	+							+						+				+				+			+
20130414LHLT234												+		+		+	+	+	+	+							+					+	+				+				+			+
20130414LHLT245			+							+				+		+	+	+	+	+	+						+	+	+				+				+				+			+
20130414LHLT294										+				+				+	+								+						+				+	+			+	+		+
20130417LHLT256				+							+			+	+			+							+		+								+			+						
20130417LHLT258														+		+	+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130417LHLT263				+			+				+				+			+		+					+		+		+						+		+	+			+		+	+
20130417LHLT268		+									+			+			+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130417LHLT272												+		+				+								+	+		+	+	+		+				+				+	+	+	+
20130417LHLT274										+				+				+									+						+				+				+	+		+
20130417LHLT279				+			+				+			+	+			+	+	+					+		+								+			+						
20130417LHLT283							+			+				+		+	+	+	+	+							+						+				+				+			+
20130417LHLT287																		+		+						+	+				+		+				+					+	+	+
20130417LHLT296			+	+							+			+	+			+	+						+		+				+				+			+						
20130417LHLT298	+													+		+		+	+	+							+		+	+	+		+				+				+			+
20130407WXXT225														+		+	+	+	+	+	+						+		+				+				+				+			+
20130407WXXT231										+				+		+		+	+	+							+						+				+				+	+	+	+
20130412LHLT116		+								+				+		+		+	+	+	+					+	+	+	+		+	+	+				+	+			+	+	+	+
20130412LHLT117										+				+				+	+	+	+					+	+	+	+	+	+		+			+	+				+	+	+	+
20130412LHLT118										+				+		+		+	+	+	+					+	+		+		+		+				+				+	+	+	+
20130412LHLT119										+				+		+	+	+	+	+							+		+				+				+				+	+		+
20130412LHLT120						+	+			+				+				+									+						+				+	+			+	+		+
20130412LHLT121		+								+				+		+		+	+	+	+						+						+				+	+			+	+		+
20130412LHLT122		+							+	+	+	+		+		+	+	+	+	+							+					+	+				+				+	+		+
20130412LHLT123										+				+		+	+	+	+	+						+	+						+				+				+			+
20130412LHLT126		+				+				+				+				+		+							+						+				+				+	+		+
20130412LHLT127										+				+				+		+							+						+				+				+	+		+
20130412LHLT128		+								+								+		+						+	+		+		+			+										+
20130412LHLT129																		+		+						+	+		+		+		+				+				+	+	+	+
20130412LHLT130										+				+				+	+	+							+						+				+				+	+		+
20130414LHLT192														+	+	+	+	+	+	+						+	+						+				+				+			+
20130414LHLT193										+				+		+	+	+	+	+							+	+					+				+				+			+
20130414LHLT198										+				+		+		+	+	+							+						+				+	+			+	+		+
20130414LHLT212										+							+	+	+	+	+						+						+				+				+	+		+
20130414LHLT228														+		+	+	+	+	+						+	+						+				+				+			+
20130414LHLT239										+			+	+		+	+	+	+	+						+	+						+				+				+	+		+
20130414LHLT244		+												+			+	+	+							+	+		+		+									+	+			+
20130414LHLT249			+		+							+		+			+	+					+				+			+	+	+				+								
20130414LHLT250		+								+				+			+	+		+							+			+	+			+										
20130417LHLT286		+												+		+	+	+	+	+							+			+			+				+				+			+
20130417LHLT301										+				+		+	+	+	+								+						+				+				+			+
20130305WXXT074			+	+	+							+					+	+	+	+					+		+				+	+			+		+	+						
20130314WXXT035					+					+		+				+	+	+	+	+			+				+						+				+				+			+
20130314WXXT036									+	+	+			+	+	+	+	+	+	+							+				+		+				+				+			+
20130325WXXT048			+		+		+		+		+	+		+		+		+	+	+			+				+			+	+	+		+			+							
20130325WXXT053			+	+	+				+		+	+		+		+	+		+	+			+				+			+	+	+				+								
20130325WXXT055			+		+					+	+	+				+	+	+	+				+			+	+			+	+	+				+								
20130325WXXT056			+		+				+		+	+		+		+	+	+	+				+				+			+	+	+				+								
20130325WXXT061			+	+					+	+	+	+		+			+		+						+	+	+				+	+			+			+						
20130325WXXT062			+						+	+	+			+		+		+	+	+						+	+			+	+	+	+			+	+				+	+		+
20130325WXXT063			+	+	+	+	+		+	+		+		+		+	+		+				+		+		+			+	+	+	+			+	+							+
20130325WXXT067			+	+	+				+			+						+							+		+			+	+	+			+	+	+	+						
20130327WXXT077			+						+	+		+																				+						+						
20130327WXXT083			+	+	+				+	+	+	+		+		+	+						+		+		+			+	+	+				+								
20130327WXXT095			+	+	+				+	+	+	+							+						+		+				+	+			+	+		+						
20130327WXXT099			+		+				+		+	+							+						+		+				+	+			+	+		+						
20130327WXXT101			+		+				+	+		+		+		+	+		+				+							+	+	+				+								
20130327WXXT102										+		+					+									+	+		+	+	+							+						+
20130327WXXT103			+	+	+				+			+				+		+	+	+	+		+				+			+	+	+	+	+							+			+
20130327WXXT104			+		+		+		+		+	+				+	+	+	+				+			+	+			+	+	+				+	+							
20130327WXXT105			+		+					+	+	+				+	+						+				+			+	+	+				+								+
20130403LHLT104		+		+			+			+				+		+		+							+		+		+		+				+	+					+			+
20130403LHLT114												+		+		+	+	+	+	+							+						+				+				+			+
20130407WXXT121							+			+				+		+		+	+	+						+	+		+	+	+						+				+			+
20130407WXXT176														+		+	+	+	+	+							+		+	+			+					+			+	+		+
20130407WXXT183	+											+		+		+	+	+	+	+						+	+		+	+			+					+			+	+		+
20130407WXXT186							+			+				+		+	+	+	+	+	+						+				+		+				+				+			+
20130407WXXT188										+				+			+	+		+						+	+		+		+		+				+				+	+	+	+
20130407WXXT190	+						+										+	+	+							+	+		+	+	+		+				+	+						+
20130407WXXT193														+				+	+	+						+	+		+									+		+				+
20130407WXXT194		+												+		+	+	+	+	+	+					+	+		+		+		+				+				+	+	+	+
20130407WXXT195										+				+		+		+	+							+	+		+	+	+		+				+				+	+	+	+
20130407WXXT198										+				+		+	+	+	+	+	+						+						+				+				+			+
20130407WXXT201										+				+				+	+								+						+				+				+	+		+
20130407WXXT211														+		+		+	+	+						+	+		+		+		+				+				+	+	+	+
20130407WXXT216														+			+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130407WXXT219					+									+		+	+	+	+	+							+						+				+				+			+
20130407WXXT224	+						+							+		+	+	+	+	+						+	+		+				+				+				+			+
20130412LHLT131										+				+		+	+	+	+	+							+						+				+				+	+		+
20130412LHLT132										+								+	+	+							+						+				+	+			+	+		+
20130412LHLT140		+				+				+				+		+	+	+	+	+							+						+				+				+	+		+
20130412LHLT144			+							+								+	+	+							+			+			+				+				+	+		+
20130412LHLT148							+			+				+		+	+	+	+	+	+						+						+				+				+			+
20130412LHLT166														+		+	+	+	+	+							+		+				+				+				+			+
20130412LHLT167						+				+						+	+	+		+							+						+				+				+	+		+
20130412LHLT172										+				+	+	+	+	+	+	+							+						+				+				+			+
20130412LHLT175										+								+		+							+						+				+				+	+		+
20130305WXXT073			+	+	+				+	+		+		+		+	+		+				+				+			+	+	+				+		+						
20130305WXXT072			+	+	+				+	+		+		+		+	+	+	+	+					+		+				+	+	+		+	+	+	+			+			+
20130305WXXT070			+		+				+			+				+	+		+	+			+							+	+	+				+								
