-	p1	p10	p11	p12	p13	p14	p15	p16	p17	p19	p20	p21	p23	p24	p25	p29	p3	p30	p31	p32	p33	p35	p36	p37	p38	p39	p40	p41	p42	p44	p5	p7	p8
20130407WXXT236																					+		+		+								+
20130407WXXT243											+																					+	
20130407WXXT245																+																+	
20130407WXXT261						+			+		+			+	+										+								
20130407WXXT263			+				+							+	+	+					+			+									
20130407WXXT265											+			+	+						+		+	+	+							+	+
20130407WXXT268		+													+						+		+		+							+	+
20130407WXXT270				+										+	+	+						+											
20130407WXXT284							+		+					+	+	+									+	+							
20130407WXXT298											+			+	+	+																	
20130407WXXT310		+					+																						+	+		+	
20130407WXXT320		+														+					+		+		+							+	+
20130414LHLT176		+	+												+																	+	
20130414LHLT195			+													+					+	+	+		+					+		+	+
20130414LHLT214		+												+	+																	+	
20130414LHLT220											+			+	+							+											
20130414LHLT234											+			+	+											+							
20130414LHLT245			+											+	+	+						+	+										
20130417LHLT256				+						+			+							+								+		+			
20130417LHLT258														+	+						+		+		+							+	+
20130417LHLT263				+			+			+			+							+			+					+		+			+
20130417LHLT268		+								+					+						+		+		+							+	+
20130417LHLT272											+										+		+	+	+							+	+
20130417LHLT279				+			+			+			+							+								+		+			
20130417LHLT296			+	+						+			+							+					+			+		+			
20130417LHLT298	+													+									+	+	+								
20130407WXXT225														+	+	+							+										
20130407WXXT231														+																		+	+
20130412LHLT116		+												+		+					+	+	+		+	+				+		+	+
20130412LHLT117																+					+	+	+	+	+				+			+	+
20130412LHLT118														+		+					+		+		+							+	+
20130412LHLT119														+	+								+									+	
20130412LHLT120						+	+																							+		+	
20130412LHLT121		+												+		+														+		+	
20130412LHLT122		+							+	+	+			+	+											+						+	
20130412LHLT126		+				+																										+	
20130412LHLT128		+																			+		+		+		+						
20130414LHLT192													+	+	+						+												
20130414LHLT193														+	+							+											
20130414LHLT198														+																+		+	
20130414LHLT212															+	+																+	
20130414LHLT228														+	+						+												
20130414LHLT239												+		+	+						+											+	
20130414LHLT244		+													+						+		+		+						+		
20130414LHLT249			+		+						+				+			+						+	+	+			+				
20130414LHLT250		+													+									+	+		+						
20130417LHLT286		+												+	+									+									
20130305WXXT074			+	+	+						+				+					+					+	+		+		+			
20130314WXXT035					+						+			+	+			+															
20130314WXXT036									+	+			+	+	+										+								
20130325WXXT048			+		+		+		+	+	+			+				+						+	+	+	+						
20130325WXXT053			+	+	+				+	+	+			+	+			+						+	+	+			+				
20130325WXXT055			+		+					+	+			+	+			+			+			+	+	+			+				
20130325WXXT056			+		+				+	+	+			+	+			+						+	+	+			+				
20130325WXXT061			+	+					+	+	+				+					+	+				+	+		+		+			
20130325WXXT062			+						+	+				+							+			+	+	+			+			+	
20130325WXXT063			+	+	+	+	+		+		+			+	+			+		+				+	+	+			+				
20130325WXXT067			+	+	+				+		+									+				+	+	+		+	+	+			
20130327WXXT077			+						+		+															+				+			
20130327WXXT083			+	+	+				+	+	+			+	+			+		+				+	+	+			+				
20130327WXXT095			+	+	+				+	+	+									+					+	+		+	+	+			
20130327WXXT099			+		+				+	+	+									+					+	+		+	+	+			
20130327WXXT101			+		+				+		+			+	+			+						+	+	+			+				
20130327WXXT102											+				+						+		+	+	+					+			
20130327WXXT103			+	+	+				+		+			+		+		+						+	+	+	+						
20130327WXXT104			+		+		+		+	+	+			+	+			+			+			+	+	+			+				
20130327WXXT105			+		+					+	+			+	+			+						+	+	+			+				
20130403LHLT104		+		+			+							+						+			+		+			+	+				
20130407WXXT121							+							+							+		+	+	+								
20130407WXXT176														+	+								+	+						+		+	
20130407WXXT183	+										+			+	+						+		+	+						+		+	
20130407WXXT186							+							+	+	+									+								
20130407WXXT190	+						+								+						+		+	+	+					+			
20130407WXXT193																					+		+							+	+		
20130407WXXT194		+												+	+	+					+		+		+							+	+
20130407WXXT195														+							+		+	+	+							+	+
20130407WXXT198														+	+	+																	
20130407WXXT219					+									+	+																		
20130407WXXT224	+						+							+	+						+		+										
20130412LHLT140		+				+								+	+																	+	
20130412LHLT144			+																					+								+	
20130412LHLT148							+							+	+	+																	
20130412LHLT166														+	+								+										
20130412LHLT167						+								+	+																	+	
20130412LHLT172													+	+	+																		
20130305WXXT073			+	+	+				+		+			+	+			+						+	+	+			+	+			
20130305WXXT072			+	+	+				+		+			+	+					+					+	+		+	+	+			
20130305WXXT069			+		+				+		+			+	+			+		+				+	+	+			+				
20130305WXXT022			+						+		+			+	+									+					+				
20130305WXXT021	+								+		+			+	+																		
20130305WXXT020			+		+				+					+	+										+								
20130305WXXT018	+		+				+							+	+								+		+					+			
20130305WXXT016																							+		+								
20130305WXXT015				+	+					+								+						+					+				
20130108WXXT012		+												+	+														+				
20130108WXXT010			+	+	+				+					+	+			+		+				+	+	+		+	+				
20121229NXTT093										+														+								+	
20121229NXTT091														+							+		+		+							+	+
20121229NXTT089			+								+			+	+																	+	
20121223NXTT142										+				+	+																		
20121223NXTT137											+																			+		+	
20121223NXTT109														+	+						+		+	+	+							+	+
20121223NXTT108		+												+	+						+		+	+	+							+	+
20121223NXTT107		+	+												+						+		+		+							+	+
20121223NXTT105																					+		+										+
20121220NXTT074		+									+																					+	
20121220NXTT069			+																													+	
20121220NXTT017										+											+		+		+							+	+
20131118LJT051					+										+															+		+	
20131122LJT055			+				+			+	+			+	+					+				+	+	+							
20131122LJT056			+										+	+	+						+			+	+				+				
LLLST077														+	+									+								+	
LLLST080														+	+											+						+	
20130417LHLT257																														+		+	
20130825CFT027															+						+		+	+	+				+			+	+
20130902ZYLT032	+													+	+																	+	
20130914ZYLT047											+			+	+																		
20130915ZYLT051											+													+						+		+	
20131005ZYLT070														+	+														+				
20131011LJT023			+	+	+									+	+			+						+	+	+			+			+	
20121223NXTT132											+				+						+		+		+					+		+	+
20130726ZYLT011														+	+																	+	
20130726ZYLT012																					+		+		+							+	+
20130903ZNT024			+						+		+			+											+	+							
20130917CFT039											+			+	+														+				
20130924CFT059			+		+						+			+	+			+							+		+						
20131015ZYLT075			+	+	+				+					+	+			+						+	+	+			+				
20131018ZNT039			+	+	+				+		+			+	+					+					+		+	+					
20131018ZNT053														+	+																+		
20131110ZYLT090		+			+				+		+				+			+								+						+	
XYYST180		+					+				+																					+	
XYYST176											+			+	+			+					+	+									
XYYST159			+						+					+	+										+								
XYYDT460		+					+																	+								+	
XYYDT405			+											+	+	+								+									
XYYDT379											+			+	+									+	+							+	
XYYDT367			+		+						+							+			+			+	+	+			+				
LLLST254	+														+									+	+						+		+
20130919LJT008										+	+			+	+																	+	
20130919LJT015							+				+			+	+								+		+			+					
20130928LJT020		+	+																					+		+							
20131014PCYT028			+			+			+					+											+	+					+		
20131014PCYT029			+			+								+											+	+					+		
20131014PCYT030						+	+		+	+				+	+								+		+							+	
20131025PCYT034					+									+	+															+		+	
20131107PCYT050		+			+		+				+			+																			
20131110LJT036				+	+					+					+					+			+		+		+	+	+	+	+		
20131111PCYT051					+	+	+								+																	+	
LLLDT359							+			+					+																	+	
LLLDT360	+	+		+	+	+	+		+						+			+						+	+		+		+	+			
LLLDT362		+								+				+	+															+			
LLLDT367			+	+					+	+	+		+	+	+					+					+		+		+				
LLLDT378		+					+		+		+			+	+																	+	
LLLST029		+												+																+		+	
LLLST086										+	+			+																		+	
LLLST100														+										+								+	
LLLST142		+	+		+				+	+				+	+													+		+		+	
LLLST161		+												+	+																		
LLLST173										+				+	+																	+	
LLLST178		+																			+		+		+							+	+
LLLST187										+				+	+								+										
XYYT316					+																			+						+		+	
20130417LHLT257																														+		+	
20130825CFT027															+						+		+	+	+				+			+	+
20130902ZYLT032	+													+	+																	+	
20130914ZYLT047											+			+	+																		
20130915ZYLT051											+													+						+		+	
20131005ZYLT070														+	+														+				
20131011LJT023			+	+	+									+	+			+						+	+	+			+			+	
20130320YJPT001														+																			
20130320YJPT002		+												+																			
20130320YJPT009					+			+						+																			
20130324YJPT077															+									+								+	
20130328YJPT102														+							+											+	
20130328YJPT108														+												+							
20130328YJPT122																										+						+	
20130401YJPT175											+			+																			
20130406YJPT181		+			+																+		+		+							+	+
20130406YJPT204								+						+										+									
20130406YJPT220											+			+																		+	
20130412YJPT343	+							+																+	+						+		+
20130412YJPT349		+												+							+		+	+	+							+	+
20130905ZYLT036		+			+					+	+							+						+	+		+		+				
20130919CXPT005		+																						+								+	
20130923PCYT005			+				+		+		+			+											+	+							
20130923PCYT008															+						+		+							+		+	
20130929PCYT026							+								+		+													+	+		
20131002ZYLT062														+										+						+		+	
20131014CXPT015			+		+				+	+	+		+		+		+		+		+	+		+	+	+			+		+		
20131018KWLT002			+	+			+				+			+	+	+				+				+	+			+	+		+		
20131025PCYT033				+	+		+				+			+	+					+			+		+			+	+				
20131105CXPT022		+												+										+								+	
20131108CXPT027		+														+								+								+	
20131110KWLT008	+						+	+							+							+	+	+	+								
20131116KWLT009															+	+					+	+	+		+							+	+
LLLDT368	+																													+		+	
LLLDT375		+									+																			+		+	
LLLST189									+					+																		+	
LLLST200		+			+		+		+		+			+							+		+		+	+						+	+
LLLST242							+				+			+	+																	+	
LLLST304									+		+																			+		+	
XYYT054	+				+		+		+														+		+					+		+	
XYYT130		+							+	+											+		+	+	+							+	+
XYYT406		+												+	+							+			+		+						
20140412ZCT067		+			+																+	+	+		+					+		+	+
20140331CJT094														+		+					+		+	+	+								
20140330CJT067		+												+							+		+		+							+	+
20140327RJT158														+		+						+			+	+						+	+
20140325RSPT058											+					+														+		+	
20140325RSPT045																										+				+		+	
20140323LJLT053			+				+		+		+				+							+			+	+							
20140323CJT026														+							+		+		+					+		+	
20140322RJT105														+							+		+		+							+	
20140320RJT081														+							+	+	+	+	+								
20140311LJLT040															+														+	+		+	
20140310ZCT044																								+					+			+	
20140308ZCT040																													+			+	
20140308CSFT025					+								+			+								+					+	+			
20140307ZCT035	+																															+	
20140307ZCT019																																+	
20140303ZCT013															+															+		+	
20140303ZCT009									+																							+	+
20130310HHT021														+							+		+		+								
20130411HHT044					+																			+								+	
20130411HHT058			+		+				+		+							+						+	+	+			+				
20130918AHT012														+	+														+			+	
20131020AHT030											+										+											+	
20131027CSFT001					+										+		+	+				+		+			+			+			
20131107AHT050									+																					+		+	
20131107AHT054					+									+	+																	+	
20131119AHT067									+					+	+																		
20131119AHT073															+							+			+					+		+	
20131119AHT076											+			+											+	+			+			+	
20131129AHT084																						+								+		+	
20131208AHT092														+															+			+	
20131208AHT096		+													+														+			+	
20140228RSPT002				+																				+								+	
20130727ZYLT027		+													+							+								+		+	+
20130917CFT032		+													+																	+	
20130923PCYT002																					+	+	+		+					+		+	
20130923PCYT010					+								+	+	+				+		+		+	+	+				+	+			
20130928PCYT013		+												+								+								+		+	+
20130929CFT120											+			+	+																	+	
20131002ZYLT063																					+	+								+		+	
20131015ZYLT078		+																				+								+		+	
20131015ZYLT080														+																		+	
20131015ZYLT081		+												+							+											+	
20131015ZYLT082		+			+				+					+	+								+		+							+	
20140307ZCT025														+							+	+	+		+								
20140307ZCT034														+	+						+		+		+					+			
20140412ZCT066														+							+	+	+		+							+	
20140413ZCT081															+						+	+	+		+							+	+
20140414ZCT089														+							+	+	+		+					+			
20140414ZCT091																					+	+	+		+							+	+
20140414ZCT097																					+		+	+								+	+
LLLDT373		+																											+			+	
20140412ZCT068			+								+			+	+		+	+	+				+			+			+	+			
20140327RJT164			+	+		+			+	+	+		+			+					+	+			+	+							
20140323CJT039		+							+		+				+		+	+	+				+			+		+	+	+			
20140303WWHT031									+		+												+			+		+	+	+			
20140314RSPT028										+	+		+				+			+	+		+			+				+			
20140327RJT147		+							+		+		+					+					+			+		+	+	+			
20140325RSRT056									+		+		+					+					+			+		+	+	+			
20140414ZCT094									+	+	+		+	+	+			+					+			+			+	+			
20140330CJT070		+							+		+			+	+			+	+				+			+		+	+	+			
20140325RSRT042											+		+	+	+		+	+	+	+			+		+	+		+	+	+			
20140330CJT074			+			+		+		+	+		+		+			+	+			+				+		+		+			
20140228RSPT004		+							+									+			+		+			+		+	+	+			
20130313RSPT019						+				+																				+			
20140302HHT001	+	+							+				+					+			+			+						+			
20140303ZCT008									+	+				+	+			+	+				+			+		+	+	+			
20140307ZCT032									+					+	+		+	+	+	+			+			+		+	+	+			
20131129CSFT006		+				+			+	+													+			+		+	+	+			
20140229WWHT028				+									+	+			+	+		+			+			+		+	+	+			
20140330CJT075		+	+					+	+		+		+	+	+			+	+		+	+	+		+	+		+	+	+			
20140314RSPT026			+							+			+			+					+	+											
20140401RJT221		+							+					+	+		+	+	+	+	+		+	+		+		+	+	+			
20140306zssT20		+							+				+										+			+		+	+	+			
20140226WWHT013									+		+		+	+	+								+			+		+	+	+			
20140306WWHT040									+		+		+		+			+	+		+		+			+		+	+	+			
20140412ZCT061		+													+		+	+	+	+			+			+		+	+	+			
20140226WWHT023						+			+	+				+			+	+		+			+			+				+			
20140226WWHT008								+	+						+			+			+		+		+	+		+	+	+			
20140221WWHT003									+								+	+					+			+		+	+	+			
20140327RJT143									+		+						+			+	+		+			+			+	+			
20140320RJT085									+		+			+	+		+	+	+	+			+			+		+	+	+			
20140409zssT64									+												+		+			+		+	+	+			
20140327RJT121			+						+								+			+	+		+		+	+				+			
20140316RSPT032		+							+		+							+					+			+		+	+	+			
20140329RJT171				+		+			+	+	+							+					+			+		+					
20140409zssT58		+							+	+	+		+	+				+					+			+		+	+	+			
20140401RJT223		+							+		+		+	+	+			+			+		+			+		+	+	+			
20140314RSPT029		+	+						+		+		+		+						+		+			+		+	+	+			
20140305zssT10									+									+			+		+			+		+	+	+			
20140307ZCT018									+				+	+	+		+	+	+	+			+			+		+		+			
20140323CJT030		+							+		+			+	+			+					+			+		+	+	+			
20140902YJPt006	+		+	+		+	+	+		+	+	+	+	+	+		+	+		+	+	+	+	+	+	+		+		+			
20140303WWHT033		+			+				+		+		+										+			+		+	+	+			
20140331CJT084		+	+			+		+	+	+	+		+		+		+	+	+	+	+	+	+			+		+	+	+			
20140306RSPT013		+							+									+	+				+			+		+	+	+			
20140401RJT222										+							+			+	+		+			+		+		+			
20130313RSPT016		+							+					+			+	+		+	+		+			+		+	+	+			
20140308CSFT012		+							+						+			+					+			+		+	+	+			
20140325RSRT047									+		+						+	+		+			+			+				+			
20140412ZCT077		+							+						+		+	+	+	+			+			+		+	+	+			
20140226WWHT025										+	+						+			+			+			+		+		+			
20140401RJT218		+							+		+		+	+			+	+					+			+		+	+	+			
20140323CJT024											+		+	+	+		+	+	+	+	+		+			+		+	+	+			
20140409zssT81		+							+						+								+			+		+	+	+			
20140306WWHT046								+	+		+		+	+	+			+	+	+			+			+		+		+			
20140314RSPT023																	+			+	+		+		+	+				+			
20140306WWHT043											+		+	+	+			+	+				+			+		+		+			
20140306WWHT042									+		+		+	+	+			+		+			+			+		+		+			
20140303WWHT034											+		+	+	+			+			+		+			+		+	+	+			
20140327RJT129									+		+		+				+	+		+			+			+			+	+			
20140305RSPT009									+		+				+				+		+		+			+		+	+	+			
20140314RSPT027				+					+				+										+			+		+	+	+			
20140330CJT068	+					+			+		+		+				+	+		+						+	+			+			
20130313RSPT020											+		+				+			+			+			+				+			
20140315RSPT031		+							+								+	+					+			+		+	+	+			
20140325RSRT052									+								+		+	+			+			+				+			
20140409zssT72		+	+						+				+										+			+		+	+	+			
20140226ZCT001		+							+	+	+		+	+	+			+	+	+			+			+		+		+			
20140226WWHT020																	+			+			+			+				+			
20140327RJT131		+		+					+									+					+		+	+		+	+	+			
20140327RJT133									+				+				+	+		+			+			+			+	+			
20140409zssT37									+	+	+							+		+			+			+		+	+	+			
20140401RJT225		+	+						+					+			+	+		+	+		+			+		+	+	+			
20140317RSPT035									+		+		+	+	+		+	+	+	+			+			+		+		+			
LLLDT017							+	+	+					+	+								+		+								
LLLDT012														+	+																		+
LLLST008														+	+																		
LLLDT021							+							+	+																		
20131118PCYT057					+								+		+			+						+					+	+		+	
RJT44		-			-		-		-	-	-		-	-	-	-		-			-	+	-	+	-		-		+	-	-	+	+
CJT040		+			-		-		-	-	-		-	+	-	-		-			+	+	+	+	+		-		-	+	-	+	+
20141103LTH001		+			+		-		+	+	+		+	+	+	-		+	+		-	-	-	+	+		+		+	+	+	-	-
20140307ZCT036		+			-		+		-	-	-		-	+	+	+		-			-	-	-	+	+		-		-	+	-	+	+
20140402CJT125		-			-		-		-	-	-		-	+	-	-		-			+	+	+	+	+		-		-	+	-	+	-
